अ     a
अन्तर्यामी  antryaami
अन्तर्राज्यीय antrraajyiy
अन्तर्राष्ट्रीय   antrraastriy
अन्तर्रोधन  antrrodhn
अन्तर्वाह     antrvaah
अन्तर्संस्था    antrsnsthaa
अन्तहीन   anthin
अन्तिम      antim
अन्त्येष्टि       antyesti
अन्दर andr
अन्दाज      andaaj
अन्दाजा   andaajaa
अन्दाज़      andaaz
अन्ध    andh
अन्धकार   andhkaar
अन्धता      andhtaa
अन्धविश्वास       andhvishvaas
अन्धविश्वासी    andhvishvaasi
अन्धा andhaa
अन्धाधुन्ध  andhaadhundh
अन्धानुकरण  andhaanukrn
अन्धे andhe
अन्धेर      andher
अन्धेरा   andhaa
अन्न    ann
अन्नकूट   annkut
अन्नदाता        anndaataa
अन्नपूर्णा  annpurnaa
अन्नप्राशन  annpraashn
अन्नमय      annmy
अन्ना annaa
अन्नागार        annaagaaar
अन्नादुरै     annaadurai
अन्नान      annaan
अन्नामलाई     annaamlaaee
अन्नाराम        annaaraam
अन्य    any
अन्यजातियों       anyjaatiyon
अन्यतम      anytm
अन्यत्र   anytr
अन्यत्रता     anytrtaa
अन्यथा      anythaa
अन्यदेशीय     anydeshiy
अन्यमनस्कता       anymnsktaa
अन्यान्य        anyaany
अन्याय      anyaay
अन्यायपूर्ण       anyaaypurn
अन्यायपूर्णता anyaaypurntaa
अन्यायी   anyaayi
अन्यायों        anyaayon
अन्यों      anyon
अन्योन्यक्रिया      anyonykriyaa
अन्योन्याश्रय anyonyaashry
अन्योन्याश्रित      anyonyaashrit
अन्वेशण   anveshn
अन्वेषक   anvesk
अन्वेषकों     anveskon
अन्वेषण   anvesn
अन्वेषणशील  anvesnshil
अन्वेषणात्मक    anvesnaatmk
अन्वेषणों     anvesnon
अन्वेषित        anvesit
अन्वेषी   anvesi
अनफ़िप anfip
अनफ़िल्टर्ड  anfiltrd
अनफ़ैशनेबल     anfaishnebl
अप  ap
अपंग    apnga
अपंगता      apngataa
अपंजीकृत        apnjikrit
अपकरण apkrn
अपकर्मी   apkrmi
अपकर्ष      apkrs
अपकर्षक   apkrsk
अपकर्षण   apkrsn
अपकर्षिणी     apkrsini
अपकर्षी   apkrsi
अपकलंक      apklnk
अपकार apkaar
अपकारक      apkaark
अपकारिता        apkaaritaa
अपकारी      apkaari
अपकीरति   apkirti
अपकीर्ण   apkirn
अपकीर्ति        apkirti
अपकीर्तिकर  apkirtikr
अपकृत apkrit
अपकृत्य   apkrity
अपकृष्टता     apkristtaa
अपकेंद्र        apkendr
अपकेंद्री     apkendri
अपक्व apkv
अपक्वता   apkvtaa
अपक्षपात        apkspaat
अपक्षय      apksy
अपक्षयण   apksyn
अपक्षयी   apksyi
अपक्षरणीय     apksrniy
अपक्षीणन        apksinn
अपगति apgati
अपग्रेड   apgared
अपघटन apghtn
अपघर्षक   apghrsk
अपघर्षी   apghrsi
अपच       apch
अपचय    apchy
अपचयन apchyn
अपचार apchaar
अपचारी      apchaari
अपचित apchit
अपच्छेदन        apchchhedn
अपछरा apchhraa
अपजनन apjnn
अपटु    aptu
अपटुता      aptutaa
अपठनीय      apthniy
अपठित apthit
अपडेट apdet
अपत       apt
अपतट    aptt
अपतटीय      apttiy
अपतुष्टि        aptusti
अपथ्य apthy
अपदस्थ      apdsth
अपद्रव्यों  apdrvyon
अपन       apn
अपनत    apnt
अपनत्व      apntv
अपनयन apnyn
अपना    apnaa
अपनाई apnaaee
अपनाए apnaae
अपनाएं      apnaaen
अपनाएगा   apnaaaaa
अपनाएगी   apnaaai
अपनाकर      apnaakr
अपनाता      apnaataa
अपनाती      apnaati
अपनाते      apnaate
अपनाना      apnaanaa
अपनानी      apnaani
अपनाने      apnaane
अपनापन      apnaapn
अपनाम apnaam
अपनाया      apnaayaa
अपनायी      apnaayi
अपनाये      apnaaye
अपनी    apni
अपनीत apnit
अपने    apne
अपनें apnen
अपनेआप      apnap
अपनेपन      apnepn
अपनों apnon
अपभ्रंश   apbhrnsh
अपमान apmaan
अपमानजनक        apmaanjnk
अपमानसूचक     apmaansuchk
अपमानित   apmaanit
अपमिश्रित     apmishrit
अपमुखी      apmukhi
अपयश    apysh
अपयशकारी        apyshkaari
अपर       apr
अपरंपरागतता       aprnpraagattaa
अपरंपार   aprnpaar
अपरचना      aprchnaa
अपरता aprtaa
अपरद    aprd
अपरदन aprdn
अपरमपार   aprmpaar
अपरम्परागत  aprmpraagat
अपरम्पार        aprmpaar
अपररूपता        aprruptaa
अपरसायनविद  aprsaaynvid
अपरा    apraa
अपराइट      apraait
अपराजिता        apraajitaa
अपराजितो        apraajito
अपराजेय   apraajey
अपराजेयता     apraajeytaa
अपराध apraadh
अपराधबोध        apraadhbodh
अपराधिक   apraadhik
अपराधियों     apraadhiyon
अपराधी      apraadhi
अपराधीकरण     apraadhikrn
अपराधों   apraadhon
अपरान्ह   apraanh
अपरामर्श्य  apraamrshy
अपरावर्तित  apraavrtit
अपराह्न   apraahn
अपरिग्रह        aprigarh
अपरिचित   aprichit
अपरिचितता     aprichittaa
अपरिचितों     aprichiton
अपरिणीता        aprinitaa
अपरिपक्व        apripkv
अपरिपक्वता  apripkvtaa
अपरिभाषित     apribhaasit
अपरिभाष्य     apribhaasy
अपरिमित   aprimit
अपरिमेय   aprimey
अपरिवर्तनवादी aprivrtnvaadi
अपरिवर्तनीय       aprivrtniy
अपरिवर्तनीयता aprivrtniytaa
अपरिवर्तित  aprivrtit
अपरिवर्ती     aprivrti
अपरिवर्त्य  aprivrty
अपरिशोधित     aprishodhit
अपरिष्कृत     apriskrit
अपरिष्कृतता       apriskrittaa
अपरिहारित     aprihaarit
अपरिहार्य     aprihaary
अपरिहास   aprihaas
अपरूप aprup
अपरूपक      aprupk
अपरूपता   apruptaa
अपरोक्ष   aproks
अपर्णा      aprnaa
अपर्याप्त     apryaapt
अपर्याप्तता       apryaapttaa
अपर्याप्ति  apryaapti
अपलक्षण   aplksn
अपलाभ aplaabh
अपलिंक      aplink
अपलैंड      aplaind
अपलोक aplok
अपलोड aplod
अपवंचन      apvnchn
अपवर्ग      apvrga
अपवर्जक   apvrjk
अपवर्जन   apvrjn
अपवर्जित        apvrjit
अपवर्ज्य        apvrjy
अपवर्तक   apvrtk
अपवर्तन   apvrtn
अपवर्तनांक  apvrtnaank
अपवर्तनी        apvrtni
अपवर्तित        apvrtit
अपवर्त्य        apvrty
अपवहन apvhn
अपवाद apvaad
अपवादिक   apvaadik
अपवादित   apvaadit
अपवादों   apvaadon
अपवाह apvaah
अपविक्रय        apvikry
अपवित्र   apvitr
अपवित्रकारी       apvitrkaari
अपवित्रा        apvitraa
अपवित्रीकरण       apvitrikrn
अपव्यय      apvyy
अपव्ययी   apvyyi
अपशंक apshnk
अपशकुन      apshkun
अपशगुन      apshgaun
अपशब्द      apshbd
अपशब्दपूर्ण       apshbdpurn
अपशब्दों        apshbdon
अपशिष्ट   apshist
अपश्रुति        apshruti
अपसंदर्भन     apsndrbhn
अपसव्य      apsvy
अपसामान्य     apsaamaany
अपसामान्यता       apsaamaanytaa
अपसारक      apsaark
अपसारण      apsaarn
अपसारित   apsaarit
अपसारी      apsaari
अपसौर apsaur
अपस्टार्ट     apstaart
अपस्ट्रोक     apstrok
अपस्फीत   apsfit
अपस्मृति        apsmriti
अपस्वार्थी  apsvaarthi
अपहरण aphrn
अपहरणकर्ता  aphrnkrtaa
अपहर्ता   aphrtaa
अपहर्ताओं     aphrtaaon
अपहानि      aphaani
अपहारक      aphaark
अपहृत aphrit
अपह्रत      aphrt
अपाकरण      apaakrn
अपाची apaachi
अपाचे apaache
अपात्र      apaatr
अपात्रता        apaatrtaa
अपान    apaan
अपामार्ग        apaamaarga
अपार    apaar
अपारदर्शिता       apaardrshitaa
अपारदर्शी     apaardrshi
अपारा apaaraa
अपारिवारिक  apaarivaarik
अपार्टमेंट  apaartment
अपार्टमेंट  apaartment
अपार्टमेन्ट       apaartment
अपार्ट्मेंट       apaartment
अपार्यता        apaarytaa
अपालतू      apaaltu
अपावन apaavn
अपावर्तक        apaavrtk
अपाहिज      apaahij
अपितु apitu
अपित्त      apitt
अपिपासा   apipaasaa
अपील    apil
अपीलकर्ता     apilkrtaa
अपीलकर्ताआ  apilkrtaaaa
अपीलार्थी     apilaarthi
अपीली apili
अपीलीय      apiliy
अपीलें      apilen
अपीलों      apilon
अपुत्रक   aputrk
अपुष्ट      apust
अपुष्टिकर     apustikr
अपुष्पी   apuspi
अपूप    apup
अपूयन apuyn
अपूरणीय   apurniy
अपूर्ण      apurn
अपूर्णता        apurntaa
अपूर्य      apury
अपूर्व      apurv
अपूर्वकथित  apurvkthit
अपूर्वता        apurvtaa
अपूर्वतासे  apurvtaase
अपूर्वदृष्ट       apurvdrist
अपूर्वा   apurvaa
अपूर्वाग्रही    apurvaagarhi
अपूर्वानुमानित      apurvaanumaanit
अपूर्वानुमेय    apurvaanumey
अपूर्वानुमेयता      apurvaanumeytaa
अपेक्षणीय     apeksniy
अपेक्षतया     apekstyaa
अपेक्षया        apeksyaa
अपेक्षा   apeksaa
अपेक्षाएं     apeksaaen
अपेक्षाओं     apeksaaon
अपेक्षाकृत  apeksaakrit
अपेक्षित        apeksit
अपेक्षी   apeksi
अपेक्ष्य        apeksy
अपॉइंटमेंट  apointment
अपॉन    apon
अपोलो apolo
अपोहक apohk
अपोहन apohn
अप्पन appn
अप्पा appaa
अप्पू appu
अप्रकाश   aprkaash
अप्रकाशनीय  aprkaashniy
अप्रकाशित     aprkaashit
अप्रकाश्य     aprkaashy
अप्रकृत   aprkrit
अप्रचलन   aprchln
अप्रचलित        aprchlit
अप्रचार   aprchaar
अप्रतिकार     aprtikaar
अप्रतिकार्य       aprtikaary
अप्रतिक्रियात्मक        aprtikriyaatmk
अप्रतिक्रियाशील   aprtikriyaashil
अप्रतिक्रियाशीलता     aprtikriyaashiltaa
अप्रतिज्ञाबद्ध      aprtijnyaabddh
अप्रतिदेय     aprtidey
अप्रतिनिधिक       aprtinidhik
अप्रतिबंधात्मक      aprtibndhaatmk
अप्रतिबंधित       aprtibndhit
अप्रतिबद्ध  aprtibddh
अप्रतिबन्ध  aprtibndh
अप्रतिबन्धित    aprtibndhit
अप्रतिभ   aprtibh
अप्रतिभागित       aprtibhaagait
अप्रतिभाव्य       aprtibhaavy
अप्रतिम   aprtim
अप्रतियोगितात्मक        aprtiyogaitaatmk
अप्रतिरथ        aprtirth
अप्रतिरोध     aprtirodh
अप्रतिरोधी  aprtirodhi
अप्रतिवादित       aprtivaadit
अप्रतिवादी  aprtivaadi
अप्रतिवाद्य       aprtivaady
अप्रतिवेदित       aprtivedit
अप्रतिवेद्य       aprtivedy
अप्रतिशोधित       aprtishodhit
अप्रतिशोधी  aprtishodhi
अप्रतिष्ठा  aprtisthaa
अप्रतिष्ठाकर    aprtisthaakr
अप्रतिष्ठाकारी      aprtisthaakaari
अप्रतिष्ठित       aprtisthit
अप्रतिसंहरणीय aprtisnhrniy
अप्रतिस्थाप्य aprtisthaapy
अप्रतिस्पर्धात्मक     aprtisprdhaatmk
अप्रतिहत        aprtiht
अप्रत्यक्ष  aprtyks
अप्रत्यक्षता    aprtykstaa
अप्रत्यय        aprtyy
अप्रत्यायक  aprtyaayk
अप्रत्यार्पणीय      aprtyaarpniy
अप्रत्याशित       aprtyaashit
अप्रत्य्क्ष       aprtyks
अप्रदत्त        aprdtt
अप्रदर्शनशील    aprdrshnshil
अप्रधान   aprdhaan
अप्रभावनीय  aprbhaavniy
अप्रभावशाली       aprbhaavshaali
अप्रभावशील  aprbhaavshil
अप्रभावित     aprbhaavit
अप्रभावी        aprbhaavi
अप्रभाव्य     aprbhaavy
अप्रभाव्यता       aprbhaavytaa
अप्रभेद्य     aprbhedy
अप्रमाण   aprmaan
अप्रमाणिकता       aprmaaniktaa
अप्रमाण्य     aprmaany
अप्रयुक्त     apryukt
अप्रयोग   apryoga
अप्रयोगात्मक    apryogaaatmk
अप्रयोगावस्था apryogaaavsthaa
अप्रयोज्य     apryojy
अप्रवर्तनीय       aprvrtniy
अप्रवर्ती     aprvrti
अप्रवास   aprvaas
अप्रवासन        aprvaasn
अप्रवासियों       aprvaasiyon
अप्रवासी        aprvaasi
अप्रवृत   aprvrit
अप्रवेश्य     aprveshy
अप्रवेश्यता       aprveshytaa
अप्रशंसनीय  aprshnsniy
अप्रशम्य        aprshmy
अप्रशिक्षित       aprshiksit
अप्रसन्न        aprsnn
अप्रसन्नता  aprsnntaa
अप्रसन्नतापूर्वक        aprsnntaapurvk
अप्रसाद   aprsaad
अप्रसार   aprsaar
अप्रसारित     aprsaarit
अप्रस्तुत     aprstut
अप्रस्न्न     aprsnn
अप्राकाम्य  apraakaamy
अप्राकृतिक  apraakritik
अप्राक्कथनीयता      apraakkthniytaa
अप्राप्त        apraapt
अप्राप्तलक्ष्य      apraaptlksy
अप्राप्तवय  apraaptvy
अप्राप्तवयस्क apraaptvysk
अप्राप्य        apraapy
अप्राप्यता  apraapytaa
अप्रायिक        apraayik
अप्रार्थित  apraarthit
अप्रासंगिक  apraasngaik
अप्रासंगिकता    apraasngaiktaa
अप्रिय      apriy
अप्रियता        apriytaa
अप्रेंटिस     aprentis
अप्रेरक   aprerk
अप्रेरित        aprerit
अप्रेल      aprel
अप्रैल      aprail
अप्रोच      aproch
अप्रौढ़      apraurh
अप्लाइड   aplaaid
अप्लिकेशन     aplikeshn
अप्सरा      apsraa
अप्सराएँ        apsraaen
अप्सराओं        apsraaon
अपढ़       aprh
अफ  af
अफगान afgaaan
अफगानिस्तान       afgaaanistaan
अफगानी      afgaaani
अफगानों   afgaaanon
अफजल    afjl
अफरा    afraa
अफराना      afraanaa
अफवाह afvaah
अफवाहें   afvaahen
अफवाहों   afvaahon
अफसर    afsr
अफसरशाही        afsrshaahi
अफसरी afsri
अफसरों      afsron
अफसाना      afsaanaa
अफसोस afsos
अफारा afaaraa
अफीम    afim
अफेयर्स   afeyrs
अफ्रिका   afrikaa
अफ्रीकन   afrikn
अफ्रीका   afrikaa
अफ्रीकांस     afrikaans
अफ्रीकियों  afrikiyon
अफ्रीकी   afriki
अब  ab
अबंधकित   abndhkit
अबकी    abki
अबके    abke
अबखाजिया        abkhaajiyaa
अबतक    abtk
अबरार abraar
अबरी    abri
अबरक़    abrk
अबल       abl
अबला    ablaa
अबा       abaa
अबाउट abaaut
अबाध    abaadh
अबाधित      abaadhit
अबाबा abaabaa
अबिजान      abijaan
अबीजीय      abijiy
अबीर    abir
अबीसीनिया     abisiniyaa
अबु       abu
अबुध    abudh
अबुल    abul
अबू       abu
अबूजा abujaa
अबूझ    abujh
अबूझमाड़   abujhmaad
अबूझा abujhaa
अबे       abe
अबै       abai
अबोध    abodh
अबोधता      abodhtaa
अबोध्य      abodhy
अबोध्यता        abodhytaa
अब्जद abjd
अब्जिनी   abjini
अब्दाली   abdaali
अब्दुर      abdur
अब्दुर्रहमान    abdurrhmaan
अब्दुल      abdul
अब्दुल्ला     abdullaa
अब्दुल्लाह  abdullaah
अब्बा abbaa
अब्बाजान        abbaajaan
अब्बास      abbaas
अब्बासी   abbaasi
अब्बे abbe
अब्राम      abraam
अब्राहम   abraahm
अब्राह्मण     abraahmn
अब्रूज़ी   abruzi
अभंग    abhnga
अभंजनीयता     abhnjniytaa
अभक्ति      abhkti
अभगत    abhgat
अभद्र abhdr
अभद्रता   abhdrtaa
अभय       abhy
अभयदान      abhydaan
अभयपत्र   abhyptr
अभयपुर      abhypur
अभयप्रद   abhyprd
अभयारण्य        abhyaarny
अभयारण्यों  abhyaarnyon
अभर       abhr
अभरक    abhrk
अभागा abhaagaaa
अभागिन      abhaagain
अभागिनि   abhaagaini
अभागी abhaagai
अभागे abhaagae
अभागों      abhaagaon
अभाग्य      abhaagay
अभारित      abhaarit
अभाव    abhaav
अभावग्रस्त  abhaavgarst
अभावात्मक     abhaavaatmk
अभावों      abhaavon
अभास    abhaas
अभि       abhi
अभिकरण      abhikrn
अभिकर्ता        abhikrtaa
अभिकर्ताओं  abhikrtaaon
अभिकर्मक        abhikrmk
अभिकर्मकों  abhikrmkon
अभिकलक      abhiklk
अभिकलन      abhikln
अभिकल्प   abhiklp
अभिकल्पक        abhiklpk
अभिकल्पन        abhiklpn
अभिकल्पना     abhiklpnaa
अभिकल्पित     abhiklpit
अभिकारक   abhikaark
अभिक्रिया     abhikriyaa
अभिक्रियाएँ       abhikriyaaen
अभिक्रियाएं       abhikriyaaen
अभिक्रियाओं       abhikriyaaon
अभिक्रियाशील    abhikriyaashil
अभिक्षमता     abhiksmtaa
अभिगणना   abhigannaa
अभिगम abhigam
अभिगमन      abhigamn
अभिगम्य   abhigamy
अभिगम्यता     abhigamytaa
अभिग्रहण        abhigarhn
अभिग्रहणशील       abhigarhnshil
अभिघात      abhighaat
अभिघातक   abhighaatk
अभिघातज   abhighaatj
अभिघातजन्य  abhighaatjny
अभिघातविज्ञान abhighaatvijnyaan
अभिचार      abhichaar
अभिजन abhijn
अभिजनक      abhijnk
अभिजात      abhijaat
अभिजाततंत्र       abhijaattntr
अभिजातवाद     abhijaatvaad
अभिजाति   abhijaati
अभिजातीयकरण       abhijaatiykrn
अभिजात्य        abhijaaty
अभिजित      abhijit
अभिजित्   abhijit
अभिजीत      abhijit
अभिज्ञ      abhijny
अभिज्ञता        abhijnytaa
अभिज्ञात        abhijnyaat
अभिज्ञान        abhijnyaan
अभित्रास        abhitraas
अभिदत्त   abhidtt
अभिदाता   abhidaataa
अभिदान      abhidaan
अभिदान      abhidaan
अभिदायी   abhidaayi
अभिद्रोह        abhidroh
अभिद्वार        abhidvaar
अभिनंदन   abhinndn
अभिनंदी   abhinndi
अभिनति      abhinti
अभिनन्दन        abhinndn
अभिनन्दनपत्र    abhinndnptr
अभिनय abhiny
अभिनव abhinv
अभिनियम   abhiniym
अभिनिर्णय     abhinirny
अभिनिर्णायक       abhinirnaayk
अभिनिर्धारण       abhinirdhaarn
अभिनिर्धारित    abhinirdhaarit
अभिनीत      abhinit
अभिनीति   abhiniti
अभिनेट्री     abhinetri
अभिनेता   abhinaa
अभिनेताओं     abhinaaon
अभिनेत्रियों    abhinetriyon
अभिनेत्री     abhinetri
अभिन्न      abhinn
अभिन्यास        abhinyaas
अभिप्राप्त  abhipraapt
अभिप्राप्य  abhipraapy
अभिप्राय        abhipraay
अभिप्रायपूर्ण abhipraaypurn
अभिप्रायानुसार      abhipraayaanusaar
अभिप्रेत        abhipret
अभिप्रेरक     abhiprerk
अभिप्रेरण     abhiprern
अभिभव abhibhv
अभिभाव      abhibhaav
अभिभावक   abhibhaavk
अभिभावकता     abhibhaavktaa
अभिभावकहीन  abhibhaavkhin
अभिभावकों     abhibhaavkon
अभिभाषक   abhibhaask
अभिभाषण   abhibhaasn
अभिभूत      abhibhut
अभिमंत्रित  abhimntrit
अभिमत abhimt
अभिमन्यु        abhimnyu
अभिमान      abhimaan
अभिमानपूर्वक    abhimaanpurvk
अभिमानरहित  abhimaanrhit
अभिमानी   abhimaani
अभियंता   abhiyntaa
अभियंताओं     abhiyntaaon
अभियंत्रण     abhiyntrn
अभियन्ता        abhiyntaa
अभियांत्रिकी    abhiyaantriki
अभियाचना        abhiyaachnaa
अभियान      abhiyaan
अभियानों        abhiyaanon
अभियान्त्रिकी abhiyaantriki
अभियुक्त        abhiyukt
अभियुक्ति     abhiyukti
अभियुक्तों  abhiyukton
अभियोक्ता     abhiyoktaa
अभियोक्तृ     abhiyoktri
अभियोक्त्री       abhiyoktri
अभियोगी   abhiyogai
अभियोजक   abhiyojk
अभियोजकीय     abhiyojkiy
अभियोजकों     abhiyojkon
अभियोजन   abhiyojn
अभियोजित        abhiyojit
अभियोज्य        abhiyojy
अभियोज्यता  abhiyojytaa
अभिरंजक   abhirnjk
अभिरंजित        abhirnjit
अभिरक्षक        abhirksk
अभिरक्षण        abhirksn
अभिरक्षा        abhirksaa
अभिरक्षित     abhirksit
अभिराम      abhiraam
अभिरुचि   abhiruchi
अभिरूचि   abhiruchi
अभिलंबता        abhilnbtaa
अभिलक्षण        abhilksn
अभिलक्षणों  abhilksnon
अभिलषित   abhilsit
अभिलाष      abhilaas
अभिलाषा   abhilaasaa
अभिलाषाओं     abhilaasaaon
अभिलाषित        abhilaasit
अभिलाषी   abhilaasi
अभिलाषीना     abhilaasinaa
अभिलिखित        abhilikhit
अभिलेख      abhilekh
अभिलेखक   abhilekhk
अभिलेखन   abhilekhn
अभिलेखपाल     abhilekhpaal
अभिलेखागार  abhilekhaagaaar
अभिलेखाध्यक्ष abhilekhaadhyks
अभिलेखानुसार    abhilekhaanusaar
अभिलेखित        abhilekhit
अभिलेखी   abhilekhi
अभिलेखीय        abhilekhiy
अभिलेखों        abhilekhon
अभिवंद्य        abhivndy
अभिवर्तक        abhivrtk
अभिवर्धित     abhivrdhit
अभिवर्धी        abhivrdhi
अभिवादन   abhivaadn
अभिवादित        abhivaadit
अभिवाद्य        abhivaady
अभिवाह      abhivaah
अभिवाही   abhivaahi
अभिविन्यास  abhivinyaas
अभिवृत्ति     abhivritti
अभिवृद्धि     abhivriddhi
अभिव्यंजक     abhivynjk
अभिव्यंजकता       abhivynjktaa
अभिव्यंजना  abhivynjnaa
अभिव्यंजनावाद abhivynjnaavaad
अभिव्यंजनावादी      abhivynjnaavaadi
अभिव्यक्त     abhivykt
अभिव्यक्ति  abhivykti
अभिव्यक्तियाँ abhivyktiyaan
अभिव्यक्तियां abhivyktiyaan
अभिव्यक्तियों abhivyktiyon
अभिव्यक्तिशील abhivyktishil
अभिशंसन   abhishnsn
अभिशप abhishp
अभिशप्त   abhishpt
अभिशाप      abhishaap
अभिशापित        abhishaapit
अभिशासन   abhishaasn
अभिशासित        abhishaasit
अभिषंगी   abhisngai
अभिषद abhisd
अभिषिक्त        abhisikt
अभिषेक      abhisek
अभिषेक्ता     abhisektaa
अभिसमय      abhismy
अभिसरण      abhisrn
अभिसार      abhisaar
अभिसारिका     abhisaarikaa
अभिसारी   abhisaari
अभिसूचक   abhisuchk
अभिस्वीकृति       abhisvikriti
अभिहस्तांकन       abhihstaankn
अभिहस्तांतरक    abhihstaantrk
अभिहित      abhihit
अभी       abhi
अभीत    abhit
अभीप्सा   abhipsaa
अभीप्सित        abhipsit
अभीप्सु   abhipsu
अभीर    abhir
अभीष्ट      abhist
अभूत    abhut
अभूतपूर्व     abhutpurv
अभेद    abhed
अभेद्य      abhedy
अभेद्यता        abhedytaa
अभोगी abhogai
अभोजित      abhojit
अभोज्य      abhojy
अभ्यर्थियों       abhyrthiyon
अभ्यर्थी        abhyrthi
अभ्यस्त   abhyst
अभ्यारण   abhyaarn
अभ्यारण्य     abhyaarny
अभ्यारोपणीय       abhyaaropniy
अभ्यारोप्य  abhyaaropy
अभ्यावेदक     abhyaavedk
अभ्यावेदन     abhyaavedn
अभ्यास      abhyaas
अभ्यासकार्य       abhyaaskaary
अभ्यासगत        abhyaasgat
अभ्यासों        abhyaason
अभ्युदय   abhyudy
अभ्रक abhrk
अभ्रांत   abhraant
अभ्रोत्थ        abhrotth
अमंगल amngal
अमंगलसूचक     amngalsuchk
अमकट    amkt
अमचूर amchur
अमजद    amjd
अमत्त amtt
अमत्तता   amtttaa
अमन       amn
अमनपसंद   amnpsnd
अमनपसंदवाद  amnpsndvaad
अमनोहर      amnohr
अमर       amr
अमरकंटक   amrkntk
अमरकांत   amrkaant
अमरकोष      amrkos
अमरजीत      amrjit
अमरता amrtaa
अमरत्व      amrtv
अमरनाथ      amrnaath
अमरपक्षी        amrpksi
अमरपुर      amrpur
अमरबेल      amrbel
अमरसिंह   amrsinh
अमरा    amraa
अमराचार्य     amraachaary
अमरापुरकर     amraapurkr
अमरावती   amraavti
अमरिंदर   amrindr
अमरिका      amrikaa
अमरिकी      amriki
अमरी    amri
अमरीकन      amrikn
अमरीका      amrikaa
अमरीकियों     amrikiyon
अमरीकी      amriki
अमरीश amrish
अमरुद amrud
अमरूद amrud
अमरेन्द्र     amrendr
अमरेली      amreli
अमरेश amresh
अमरेश्वर        amreshvr
अमरोहा      amrohaa
अमरौली      amrauli
अमर्त्य   amrty
अमर्यादा        amryaadaa
अमर्यादाशील       amryaadaashil
अमर्यादित     amryaadit
अमर्ष amrs
अमल       aml
अमलतास      amltaas
अमलतासी   amltaasi
अमला    amlaa
अमशीनी      amshini
अमांडा      amaandaa
अमान    amaan
अमानक amaank
अमानत amaant
अमाननीय   amaanniy
अमानवीय   amaanviy
अमानवीयता     amaanviytaa
अमाना amaanaa
अमानी amaani
अमानुषिकता  amaanusiktaa
अमानुषी   amaanusi
अमान्य      amaany
अमान्यकरण     amaanykrn
अमान्यकरणीय       amaanykrniy
अमान्यता        amaanytaa
अमान्यताप्राप्त   amaanytaapraapt
अमार    amaar
अमावस amaavs
अमावस्या        amaavsyaa
अमाशय amaashy
अमिट    amit
अमित    amit
अमिता amitaa
अमिताभ      amitaabh
अमित्र      amitr
अमित्रतापूर्ण amitrtaapurn
अमित्रवत        amitrvt
अमिय    amiy
अमिया amiyaa
अमिर    amir
अमिल    amil
अमी       ami
अमीचंद      amichnd
अमीटर amitr
अमीन    amin
अमीना aminaa
अमीनाबाद        aminaabaad
अमीनो amino
अमीबा amibaa
अमीर    amir
अमीरात      amiraat
अमीरी amiri
अमीरों      amiron
अमुक    amuk
अमुक्त      amukt
अमुख    amukh
अमुद्रणीय     amudrniy
अमूत्रता        amutrtaa
अमूमन amumn
अमूर्त      amurt
अमूर्तता        amurttaa
अमूर्तन   amurtn
अमूर्तवाद     amurtvaad
अमूर्तवादी  amurtvaadi
अमूल    amul
अमूलक amulk
अमूल्य      amuly
अमूल्यता        amulytaa
अमृत    amrit
अमृतधारा        amritdhaaraa
अमृतपुर   amritpur
अमृतमय      amritmy
अमृतराज   amritraaj
अमृतलाल   amritlaal
अमृतवाणी        amritvaani
अमृतसर      amritsr
अमृता amritaa
अमृतेशय   amriteshy
अमेंडा      amendaa
अमेजन amejn
अमेठना      amethnaa
अमेठी amethi
अमेरिकन   amerikn
अमेरिका   amerikaa
अमेरिकावासी       amerikaavaasi
अमेरिकास        amerikaas
अमेरिकियों  amerikiyon
अमेरिकी   ameriki
अमेरिकीकरण  amerikikrn
अमेरीका   amerikaa
अमेल    amel
अमेज़न amezn
अमेज़िंग   amezinga
अमोघ    amogh
अमोघवर्ष        amoghvrs
अमोचनीय   amochniy
अमोनियम   amoniym
अमोनिया   amoniyaa
अमोल    amol
अमोला amolaa
अमोली amoli
अमौखिक      amaukhik
अमौलिक      amaulik
अमौलिकता        amauliktaa
अम्पायर   ampaayr
अम्बर ambr
अम्बरीष   ambris
अम्बष्ठ   ambsth
अम्बा ambaa
अम्बार      ambaar
अम्बाला   ambaalaa
अम्बालिका     ambaalikaa
अम्बिका   ambikaa
अम्बिकापुर  ambikaapur
अम्बे ambe
अम्बेडकर        ambedkr
अम्मा ammaa
अम्माँ      ammaan
अम्मान      ammaan
अम्मी ammi
अम्मोनियों  ammoniyon
अम्ल    aml
अम्लजन      amljn
अम्लता      amltaa
अम्लनाशक        amlnaashk
अम्लपित्त     amlpitt
अम्लमयता        amlmytaa
अम्लमितीय     amlmitiy
अम्लरक्तता  amlrkttaa
अम्लशूल   amlshul
अम्लान      amlaan
अम्लापकर्षक       amlaapkrsk
अम्लीकरण        amlikrn
अम्लीकरण्     amlikrn
अम्लीकृत        amlikrit
अम्लीभवन        amlibhvn
अम्लीय      amliy
अम्लीयता        amliytaa
अम्लों      amlon
अम्हौरी   amhauri
अमज़द    amzd
अयंत्रचालित       ayntrchaalit
अयंत्रित        ayntrit
अयथार्थ   aythaarth
अयथार्थता     aythaarthtaa
अयथार्थवाद  aythaarthvaad
अयथार्थवादी       aythaarthvaadi
अयन       ayn
अयनांत      aynaant
