अ	a
अन्तर्दशा	antardasha
अन्तर्धर्मसंप्रदायी	antardharmasampradaayee
अन्तर्धान	antardhaan
अन्तर्निर्मित	antarnirmit
अन्तर्निहित	antarnihit
अन्तर्मन	antarman
अन्तर्यामी	antaryaamee
अन्तर्राज्यीय	antarraajyeey
अन्तर्राष्ट्रीय	antarraashtreey
अन्तर्रोधन	antarrodhan
अन्तर्वाह	antarvaah
अन्तर्संस्था	antarsanstha
अन्तहीन	antaheen
अन्तिम	antim
अन्त्येष्टि	antyeshti
अन्दर	andar
अन्दाज	andaaj
अन्दाजा	andaaja
अन्दाज़	andaaz
अन्ध	andh
अन्धकार	andhakaar
अन्धता	andhata
अन्धविश्वास	andhavishvaas
अन्धविश्वासी	andhavishvaasee
अन्धा	andha
अन्धाधुन्ध	andhaadhundh
अन्धानुकरण	andhaanukaran
अन्धे	andhe
अन्धेर	andher
अन्धेरा	andhera
अन्न	ann
अन्नकूट	annakoot
अन्नदाता	annadaata
अन्नपूर्णा	annapoorna
अन्नप्राशन	annapraashan
अन्नमय	annamay
अन्ना	anna
अन्नागार	annaagaar
अन्नादुरै	annaadurai
अन्नान	annaan
अन्नामलाई	annaamalaee
अन्नाराम	annaaraam
अन्य	any
अन्यजातियों	anyajaatiyon
अन्यतम	anyatam
अन्यत्र	anyatr
अन्यत्रता	anyatrata
अन्यथा	anyatha
अन्यदेशीय	anyadesheey
अन्यमनस्कता	anyamanaskata
अन्यान्य	anyaany
अन्याय	anyaay
अन्यायपूर्ण	anyaayapoorn
अन्यायपूर्णता	anyaayapoornata
अन्यायी	anyaayee
अन्यायों	anyaayon
अन्यों	anyon
अन्योन्यक्रिया	anyonyakriya
अन्योन्याश्रय	anyonyaashray
अन्योन्याश्रित	anyonyaashrit
अन्वेशण	anveshan
अन्वेषक	anveshak
अन्वेषकों	anveshakon
अन्वेषण	anveshan
अन्वेषणशील	anveshanasheel
अन्वेषणात्मक	anveshanaatmak
अन्वेषणों	anveshanon
अन्वेषित	anveshit
अन्वेषी	anveshee
अनफ़िप	anafip
अनफ़िल्टर्ड	anafiltard
अनफ़ैशनेबल	anafaishanebal
अप	ap
अपंग	apang
अपंगता	apangata
अपंजीकृत	apanjeekrt
अपकरण	apakaran
अपकर्मी	apakarmee
अपकर्ष	apakarsh
अपकर्षक	apakarshak
अपकर्षण	apakarshan
अपकर्षिणी	apakarshinee
अपकर्षी	apakarshee
अपकलंक	apakalank
अपकार	apakaar
अपकारक	apakaarak
अपकारिता	apakaarita
अपकारी	apakaaree
अपकीरति	apakeerati
अपकीर्ण	apakeern
अपकीर्ति	apakeerti
अपकीर्तिकर	apakeertikar
अपकृत	apakrt
अपकृत्य	apakrty
अपकृष्टता	apakrshtata
अपकेंद्र	apakendr
अपकेंद्री	apakendree
अपक्व	apakv
अपक्वता	apakvata
अपक्षपात	apakshapaat
अपक्षय	apakshay
अपक्षयण	apakshayan
अपक्षयी	apakshayee
अपक्षरणीय	apaksharaneey
अपक्षीणन	apaksheenan
अपगति	apagati
अपग्रेड	apagred
अपघटन	apaghatan
अपघर्षक	apagharshak
अपघर्षी	apagharshee
अपच	apach
अपचय	apachay
अपचयन	apachayan
अपचार	apachaar
अपचारी	apachaaree
अपचित	apachit
अपच्छेदन	apachchhedan
अपछरा	apachhara
अपजनन	apajanan
अपटु	apatu
अपटुता	apatuta
अपठनीय	apathaneey
अपठित	apathit
अपडेट	apadet
अपत	apat
अपतट	apatat
अपतटीय	apatateey
अपतुष्टि	apatushti
अपथ्य	apathy
अपदस्थ	apadasth
अपद्रव्यों	apadravyon
अपन	apan
अपनत	apanat
अपनत्व	apanatv
अपनयन	apanayan
अपना	apana
अपनाई	apanaee
अपनाए	apanae
अपनाएं	apanaen
अपनाएगा	apanaega
अपनाएगी	apanaegee
अपनाकर	apanaakar
अपनाता	apanaata
अपनाती	apanaatee
अपनाते	apanaate
अपनाना	apanaana
अपनानी	apanaanee
अपनाने	apanaane
अपनापन	apanaapan
अपनाम	apanaam
अपनाया	apanaaya
अपनायी	apanaayee
अपनाये	apanaaye
अपनी	apanee
अपनीत	apaneet
अपने	apane
अपनें	apanen
अपनेआप	apaneaap
अपनेपन	apanepan
अपनों	apanon
अपभ्रंश	apabhransh
अपमान	apamaan
अपमानजनक	apamaanajanak
अपमानसूचक	apamaanasoochak
अपमानित	apamaanit
अपमिश्रित	apamishrit
अपमुखी	apamukhee
अपयश	apayash
अपयशकारी	apayashakaaree
अपर	apar
अपरंपरागतता	aparamparaagatata
अपरंपार	aparampaar
अपरचना	aparachana
अपरता	aparata
अपरद	aparad
अपरदन	aparadan
अपरमपार	aparamapaar
अपरम्परागत	aparamparaagat
अपरम्पार	aparampaar
अपररूपता	apararoopata
अपरसायनविद	aparasaayanavid
अपरा	apara
अपराइट	aparait
अपराजिता	aparaajita
अपराजितो	aparaajito
अपराजेय	aparaajey
अपराजेयता	aparaajeyata
अपराध	aparaadh
अपराधबोध	aparaadhabodh
अपराधिक	aparaadhik
अपराधियों	aparaadhiyon
अपराधी	aparaadhee
अपराधीकरण	aparaadheekaran
अपराधों	aparaadhon
अपरान्ह	aparaanh
अपरामर्श्य	aparaamarshy
अपरावर्तित	aparaavartit
अपराह्न	aparaahn
अपरिग्रह	aparigrah
अपरिचित	aparichit
अपरिचितता	aparichitata
अपरिचितों	aparichiton
अपरिणीता	aparineeta
अपरिपक्व	aparipakv
अपरिपक्वता	aparipakvata
अपरिभाषित	aparibhaashit
अपरिभाष्य	aparibhaashy
अपरिमित	aparimit
अपरिमेय	aparimey
अपरिवर्तनवादी	aparivartanavaadee
अपरिवर्तनीय	aparivartaneey
अपरिवर्तनीयता	aparivartaneeyata
अपरिवर्तित	aparivartit
अपरिवर्ती	aparivartee
अपरिवर्त्य	aparivarty
अपरिशोधित	aparishodhit
अपरिष्कृत	aparishkrt
अपरिष्कृतता	aparishkrtata
अपरिहारित	aparihaarit
अपरिहार्य	aparihaary
अपरिहास	aparihaas
अपरूप	aparoop
अपरूपक	aparoopak
अपरूपता	aparoopata
अपरोक्ष	aparoksh
अपर्णा	aparna
अपर्याप्त	aparyaapt
अपर्याप्तता	aparyaaptata
अपर्याप्ति	aparyaapti
अपलक्षण	apalakshan
अपलाभ	apalaabh
अपलिंक	apalink
अपलैंड	apalaind
अपलोक	apalok
अपलोड	apalod
अपवंचन	apavanchan
अपवर्ग	apavarg
अपवर्जक	apavarjak
अपवर्जन	apavarjan
अपवर्जित	apavarjit
अपवर्ज्य	apavarjy
अपवर्तक	apavartak
अपवर्तन	apavartan
अपवर्तनांक	apavartanaank
अपवर्तनी	apavartanee
अपवर्तित	apavartit
अपवर्त्य	apavarty
अपवहन	apavahan
अपवाद	apavaad
अपवादिक	apavaadik
अपवादित	apavaadit
अपवादों	apavaadon
अपवाह	apavaah
अपविक्रय	apavikray
अपवित्र	apavitr
अपवित्रकारी	apavitrakaaree
अपवित्रा	apavitra
अपवित्रीकरण	apavitreekaran
अपव्यय	apavyay
अपव्ययी	apavyayee
अपशंक	apashank
अपशकुन	apashakun
अपशगुन	apashagun
अपशब्द	apashabd
अपशब्दपूर्ण	apashabdapoorn
अपशब्दों	apashabdon
अपशिष्ट	apashisht
अपश्रुति	apashruti
अपसंदर्भन	apasandarbhan
अपसव्य	apasavy
अपसामान्य	apasaamaany
अपसामान्यता	apasaamaanyata
अपसारक	apasaarak
अपसारण	apasaaran
अपसारित	apasaarit
अपसारी	apasaaree
अपसौर	apasaur
अपस्टार्ट	apastaart
अपस्ट्रोक	apastrok
अपस्फीत	apaspheet
अपस्मृति	apasmrti
अपस्वार्थी	apasvaarthee
अपहरण	apaharan
अपहरणकर्ता	apaharanakarta
अपहर्ता	apaharta
अपहर्ताओं	apahartaon
अपहानि	apahaani
अपहारक	apahaarak
अपहृत	apahrt
अपह्रत	apahrat
अपाकरण	apaakaran
अपाची	apaachee
अपाचे	apaache
अपात्र	apaatr
अपात्रता	apaatrata
अपान	apaan
अपामार्ग	apaamaarg
अपार	apaar
अपारदर्शिता	apaaradarshita
अपारदर्शी	apaaradarshee
अपारा	apaara
अपारिवारिक	apaarivaarik
अपार्टमेंट	apaartament
अपार्टमेंट	apaartament
अपार्टमेन्ट	apaartament
अपार्ट्मेंट	apaartment
अपार्यता	apaaryata
अपालतू	apaalatoo
अपावन	apaavan
अपावर्तक	apaavartak
अपाहिज	apaahij
अपितु	apitu
अपित्त	apitt
अपिपासा	apipaasa
अपील	apeel
अपीलकर्ता	apeelakarta
अपीलकर्ताआ	apeelakartaa
अपीलार्थी	apeelaarthee
अपीली	apeelee
अपीलीय	apeeleey
अपीलें	apeelen
अपीलों	apeelon
अपुत्रक	aputrak
अपुष्ट	apusht
अपुष्टिकर	apushtikar
अपुष्पी	apushpee
अपूप	apoop
अपूयन	apooyan
अपूरणीय	apooraneey
अपूर्ण	apoorn
अपूर्णता	apoornata
अपूर्य	apoory
अपूर्व	apoorv
अपूर्वकथित	apoorvakathit
अपूर्वता	apoorvata
अपूर्वतासे	apoorvataase
अपूर्वदृष्ट	apoorvadrsht
अपूर्वा	apoorva
अपूर्वाग्रही	apoorvaagrahee
अपूर्वानुमानित	apoorvaanumaanit
अपूर्वानुमेय	apoorvaanumey
अपूर्वानुमेयता	apoorvaanumeyata
अपेक्षणीय	apekshaneey
अपेक्षतया	apekshataya
अपेक्षया	apekshaya
अपेक्षा	apeksha
अपेक्षाएं	apekshaen
अपेक्षाओं	apekshaon
अपेक्षाकृत	apekshaakrt
अपेक्षित	apekshit
अपेक्षी	apekshee
अपेक्ष्य	apekshy
अपॉइंटमेंट	apointament
अपॉन	apon
अपोलो	apolo
अपोहक	apohak
अपोहन	apohan
अप्पन	appan
अप्पा	appa
अप्पू	appoo
अप्रकाश	aprakaash
अप्रकाशनीय	aprakaashaneey
अप्रकाशित	aprakaashit
अप्रकाश्य	aprakaashy
अप्रकृत	aprakrt
अप्रचलन	aprachalan
अप्रचलित	aprachalit
अप्रचार	aprachaar
अप्रतिकार	apratikaar
अप्रतिकार्य	apratikaary
अप्रतिक्रियात्मक	apratikriyaatmak
अप्रतिक्रियाशील	apratikriyaasheel
अप्रतिक्रियाशीलता	apratikriyaasheelata
अप्रतिज्ञाबद्ध	apratigyaabaddh
अप्रतिदेय	apratidey
अप्रतिनिधिक	apratinidhik
अप्रतिबंधात्मक	apratibandhaatmak
अप्रतिबंधित	apratibandhit
अप्रतिबद्ध	apratibaddh
अप्रतिबन्ध	apratibandh
अप्रतिबन्धित	apratibandhit
अप्रतिभ	apratibh
अप्रतिभागित	apratibhaagit
अप्रतिभाव्य	apratibhaavy
अप्रतिम	apratim
अप्रतियोगितात्मक	apratiyogitaatmak
अप्रतिरथ	apratirath
अप्रतिरोध	apratirodh
अप्रतिरोधी	apratirodhee
अप्रतिवादित	aprativaadit
अप्रतिवादी	aprativaadee
अप्रतिवाद्य	aprativaady
अप्रतिवेदित	aprativedit
अप्रतिवेद्य	aprativedy
अप्रतिशोधित	apratishodhit
अप्रतिशोधी	apratishodhee
अप्रतिष्ठा	apratishtha
अप्रतिष्ठाकर	apratishthaakar
अप्रतिष्ठाकारी	apratishthaakaaree
अप्रतिष्ठित	apratishthit
अप्रतिसंहरणीय	apratisanharaneey
अप्रतिस्थाप्य	apratisthaapy
अप्रतिस्पर्धात्मक	apratispardhaatmak
अप्रतिहत	apratihat
अप्रत्यक्ष	apratyaksh
अप्रत्यक्षता	apratyakshata
अप्रत्यय	apratyay
अप्रत्यायक	apratyaayak
अप्रत्यार्पणीय	apratyaarpaneey
अप्रत्याशित	apratyaashit
अप्रत्य्क्ष	apratyksh
अप्रदत्त	apradatt
अप्रदर्शनशील	apradarshanasheel
अप्रधान	apradhaan
अप्रभावनीय	aprabhaavaneey
अप्रभावशाली	aprabhaavashaalee
अप्रभावशील	aprabhaavasheel
अप्रभावित	aprabhaavit
अप्रभावी	aprabhaavee
अप्रभाव्य	aprabhaavy
अप्रभाव्यता	aprabhaavyata
अप्रभेद्य	aprabhedy
अप्रमाण	apramaan
अप्रमाणिकता	apramaanikata
अप्रमाण्य	apramaany
अप्रयुक्त	aprayukt
अप्रयोग	aprayog
अप्रयोगात्मक	aprayogaatmak
अप्रयोगावस्था	aprayogaavastha
अप्रयोज्य	aprayojy
अप्रवर्तनीय	apravartaneey
अप्रवर्ती	apravartee
अप्रवास	apravaas
अप्रवासन	apravaasan
अप्रवासियों	apravaasiyon
अप्रवासी	apravaasee
अप्रवृत	apravrt
अप्रवेश्य	apraveshy
अप्रवेश्यता	apraveshyata
अप्रशंसनीय	aprashansaneey
अप्रशम्य	aprashamy
अप्रशिक्षित	aprashikshit
अप्रसन्न	aprasann
अप्रसन्नता	aprasannata
अप्रसन्नतापूर्वक	aprasannataapoorvak
अप्रसाद	aprasaad
अप्रसार	aprasaar
अप्रसारित	aprasaarit
अप्रस्तुत	aprastut
अप्रस्न्न	aprasnn
अप्राकाम्य	apraakaamy
अप्राकृतिक	apraakrtik
अप्राक्कथनीयता	apraakkathaneeyata
अप्राप्त	apraapt
अप्राप्तलक्ष्य	apraaptalakshy
अप्राप्तवय	apraaptavay
अप्राप्तवयस्क	apraaptavayask
अप्राप्य	apraapy
अप्राप्यता	apraapyata
अप्रायिक	apraayik
अप्रार्थित	apraarthit
अप्रासंगिक	apraasangik
अप्रासंगिकता	apraasangikata
अप्रिय	apriy
अप्रियता	apriyata
अप्रेंटिस	aprentis
अप्रेरक	aprerak
अप्रेरित	aprerit
अप्रेल	aprel
अप्रैल	aprail
अप्रोच	aproch
अप्रौढ़	apraudh
अप्लाइड	aplaid
अप्लिकेशन	aplikeshan
अप्सरा	apsara
अप्सराएँ	apsaraen
अप्सराओं	apsaraon
अपढ़	apadh
अफ	aph
अफगान	aphagaan
अफगानिस्तान	aphagaanistaan
अफगानी	aphagaanee
अफगानों	aphagaanon
अफजल	aphajal
अफरा	aphara
अफराना	apharaana
अफवाह	aphavaah
अफवाहें	aphavaahen
अफवाहों	aphavaahon
अफसर	aphasar
अफसरशाही	aphasarashaahee
अफसरी	aphasaree
अफसरों	aphasaron
अफसाना	aphasaana
अफसोस	aphasos
अफारा	aphaara
अफीम	apheem
अफेयर्स	apheyars
अफ्रिका	aphrika
अफ्रीकन	aphreekan
अफ्रीका	aphreeka
अफ्रीकांस	aphreekaans
अफ्रीकियों	aphreekiyon
अफ्रीकी	aphreekee
अब	ab
अबंधकित	abandhakit
अबकी	abakee
अबके	abake
अबखाजिया	abakhaajiya
अबतक	abatak
अबरार	abaraar
अबरी	abaree
अबरक़	abaraq
अबल	abal
अबला	abala
अबा	aba
अबाउट	abaut
अबाध	abaadh
अबाधित	abaadhit
अबाबा	abaaba
अबिजान	abijaan
अबीजीय	abeejeey
अबीर	abeer
अबीसीनिया	abeeseeniya
अबु	abu
अबुध	abudh
अबुल	abul
अबू	aboo
अबूजा	abooja
अबूझ	aboojh
अबूझमाड़	aboojhamaad
अबूझा	aboojha
अबे	abe
अबै	abai
अबोध	abodh
अबोधता	abodhata
अबोध्य	abodhy
अबोध्यता	abodhyata
अब्जद	abjad
अब्जिनी	abjinee
अब्दाली	abdaalee
अब्दुर	abdur
अब्दुर्रहमान	abdurrahamaan
अब्दुल	abdul
अब्दुल्ला	abdulla
अब्दुल्लाह	abdullaah
अब्बा	abba
अब्बाजान	abbaajaan
अब्बास	abbaas
अब्बासी	abbaasee
अब्बे	abbe
अब्राम	abraam
अब्राहम	abraaham
अब्राह्मण	abraahman
अब्रूज़ी	abroozee
अभंग	abhang
अभंजनीयता	abhanjaneeyata
अभक्ति	abhakti
अभगत	abhagat
अभद्र	abhadr
अभद्रता	abhadrata
अभय	abhay
अभयदान	abhayadaan
अभयपत्र	abhayapatr
अभयपुर	abhayapur
अभयप्रद	abhayaprad
अभयारण्य	abhayaarany
अभयारण्यों	abhayaaranyon
अभर	abhar
अभरक	abharak
अभागा	abhaaga
अभागिन	abhaagin
अभागिनि	abhaagini
अभागी	abhaagee
अभागे	abhaage
अभागों	abhaagon
अभाग्य	abhaagy
अभारित	abhaarit
अभाव	abhaav
अभावग्रस्त	abhaavagrast
अभावात्मक	abhaavaatmak
अभावों	abhaavon
अभास	abhaas
अभि	abhi
अभिकरण	abhikaran
अभिकर्ता	abhikarta
अभिकर्ताओं	abhikartaon
अभिकर्मक	abhikarmak
अभिकर्मकों	abhikarmakon
अभिकलक	abhikalak
अभिकलन	abhikalan
अभिकल्प	abhikalp
अभिकल्पक	abhikalpak
अभिकल्पन	abhikalpan
अभिकल्पना	abhikalpana
अभिकल्पित	abhikalpit
अभिकारक	abhikaarak
अभिक्रिया	abhikriya
अभिक्रियाएँ	abhikriyaen
अभिक्रियाएं	abhikriyaen
अभिक्रियाओं	abhikriyaon
अभिक्रियाशील	abhikriyaasheel
अभिक्षमता	abhikshamata
अभिगणना	abhiganana
अभिगम	abhigam
अभिगमन	abhigaman
अभिगम्य	abhigamy
अभिगम्यता	abhigamyata
अभिग्रहण	abhigrahan
अभिग्रहणशील	abhigrahanasheel
अभिघात	abhighaat
अभिघातक	abhighaatak
अभिघातज	abhighaataj
अभिघातजन्य	abhighaatajany
अभिघातविज्ञान	abhighaatavigyaan
अभिचार	abhichaar
अभिजन	abhijan
अभिजनक	abhijanak
अभिजात	abhijaat
अभिजाततंत्र	abhijaatatantr
अभिजातवाद	abhijaatavaad
अभिजाति	abhijaati
अभिजातीयकरण	abhijaateeyakaran
अभिजात्य	abhijaaty
अभिजित	abhijit
अभिजित्	abhijit
अभिजीत	abhijeet
अभिज्ञ	abhigy
अभिज्ञता	abhigyata
अभिज्ञात	abhigyaat
अभिज्ञान	abhigyaan
अभित्रास	abhitraas
अभिदत्त	abhidatt
अभिदाता	abhidaata
अभिदान	abhidaan
अभिदान	abhidaan
अभिदायी	abhidaayee
अभिद्रोह	abhidroh
अभिद्वार	abhidvaar
अभिनंदन	abhinandan
अभिनंदी	abhinandee
अभिनति	abhinati
अभिनन्दन	abhinandan
अभिनन्दनपत्र	abhinandanapatr
अभिनय	abhinay
अभिनव	abhinav
अभिनियम	abhiniyam
अभिनिर्णय	abhinirnay
अभिनिर्णायक	abhinirnaayak
अभिनिर्धारण	abhinirdhaaran
अभिनिर्धारित	abhinirdhaarit
अभिनीत	abhineet
अभिनीति	abhineeti
अभिनेट्री	abhinetree
अभिनेता	abhineta
अभिनेताओं	abhinetaon
अभिनेत्रियों	abhinetriyon
अभिनेत्री	abhinetree
अभिन्न	abhinn
अभिन्यास	abhinyaas
अभिप्राप्त	abhipraapt
अभिप्राप्य	abhipraapy
अभिप्राय	abhipraay
अभिप्रायपूर्ण	abhipraayapoorn
अभिप्रायानुसार	abhipraayaanusaar
अभिप्रेत	abhipret
अभिप्रेरक	abhiprerak
अभिप्रेरण	abhipreran
अभिभव	abhibhav
अभिभाव	abhibhaav
अभिभावक	abhibhaavak
अभिभावकता	abhibhaavakata
अभिभावकहीन	abhibhaavakaheen
अभिभावकों	abhibhaavakon
अभिभाषक	abhibhaashak
अभिभाषण	abhibhaashan
अभिभूत	abhibhoot
अभिमंत्रित	abhimantrit
अभिमत	abhimat
अभिमन्यु	abhimanyu
अभिमान	abhimaan
अभिमानपूर्वक	abhimaanapoorvak
अभिमानरहित	abhimaanarahit
अभिमानी	abhimaanee
अभियंता	abhiyanta
अभियंताओं	abhiyantaon
अभियंत्रण	abhiyantran
अभियन्ता	abhiyanta
अभियांत्रिकी	abhiyaantrikee
अभियाचना	abhiyaachana
अभियान	abhiyaan
अभियानों	abhiyaanon
अभियान्त्रिकी	abhiyaantrikee
अभियुक्त	abhiyukt
अभियुक्ति	abhiyukti
अभियुक्तों	abhiyukton
अभियोक्ता	abhiyokta
अभियोक्तृ	abhiyoktr
अभियोक्त्री	abhiyoktree
अभियोगी	abhiyogee
अभियोजक	abhiyojak
अभियोजकीय	abhiyojakeey
अभियोजकों	abhiyojakon
अभियोजन	abhiyojan
अभियोजित	abhiyojit
अभियोज्य	abhiyojy
अभियोज्यता	abhiyojyata
अभिरंजक	abhiranjak
अभिरंजित	abhiranjit
अभिरक्षक	abhirakshak
अभिरक्षण	abhirakshan
अभिरक्षा	abhiraksha
अभिरक्षित	abhirakshit
अभिराम	abhiraam
अभिरुचि	abhiruchi
अभिरूचि	abhiroochi
अभिलंबता	abhilambata
अभिलक्षण	abhilakshan
अभिलक्षणों	abhilakshanon
अभिलषित	abhilashit
अभिलाष	abhilaash
अभिलाषा	abhilaasha
अभिलाषाओं	abhilaashaon
अभिलाषित	abhilaashit
अभिलाषी	abhilaashee
अभिलाषीना	abhilaasheena
अभिलिखित	abhilikhit
अभिलेख	abhilekh
अभिलेखक	abhilekhak
अभिलेखन	abhilekhan
अभिलेखपाल	abhilekhapaal
अभिलेखागार	abhilekhaagaar
अभिलेखाध्यक्ष	abhilekhaadhyaksh
अभिलेखानुसार	abhilekhaanusaar
अभिलेखित	abhilekhit
अभिलेखी	abhilekhee
अभिलेखीय	abhilekheey
अभिलेखों	abhilekhon
अभिवंद्य	abhivandy
अभिवर्तक	abhivartak
अभिवर्धित	abhivardhit
अभिवर्धी	abhivardhee
अभिवादन	abhivaadan
अभिवादित	abhivaadit
अभिवाद्य	abhivaady
अभिवाह	abhivaah
अभिवाही	abhivaahee
अभिविन्यास	abhivinyaas
अभिवृत्ति	abhivrtti
अभिवृद्धि	abhivrddhi
अभिव्यंजक	abhivyanjak
अभिव्यंजकता	abhivyanjakata
अभिव्यंजना	abhivyanjana
अभिव्यंजनावाद	abhivyanjanaavaad
अभिव्यंजनावादी	abhivyanjanaavaadee
अभिव्यक्त	abhivyakt
अभिव्यक्ति	abhivyakti
अभिव्यक्तियाँ	abhivyaktiyaan
अभिव्यक्तियां	abhivyaktiyaan
अभिव्यक्तियों	abhivyaktiyon
अभिव्यक्तिशील	abhivyaktisheel
अभिशंसन	abhishansan
अभिशप	abhishap
अभिशप्त	abhishapt
अभिशाप	abhishaap
अभिशापित	abhishaapit
अभिशासन	abhishaasan
अभिशासित	abhishaasit
अभिषंगी	abhishangee
अभिषद	abhishad
अभिषिक्त	abhishikt
अभिषेक	abhishek
अभिषेक्ता	abhishekta
अभिसमय	abhisamay
अभिसरण	abhisaran
अभिसार	abhisaar
अभिसारिका	abhisaarika
अभिसारी	abhisaaree
अभिसूचक	abhisoochak
अभिस्वीकृति	abhisveekrti
अभिहस्तांकन	abhihastaankan
अभिहस्तांतरक	abhihastaantarak
अभिहित	abhihit
अभी	abhee
अभीत	abheet
अभीप्सा	abheepsa
अभीप्सित	abheepsit
अभीप्सु	abheepsu
अभीर	abheer
अभीष्ट	abheesht
अभूत	abhoot
अभूतपूर्व	abhootapoorv
अभेद	abhed
अभेद्य	abhedy
अभेद्यता	abhedyata
अभोगी	abhogee
अभोजित	abhojit
अभोज्य	abhojy
अभ्यर्थियों	abhyarthiyon
अभ्यर्थी	abhyarthee
अभ्यस्त	abhyast
अभ्यारण	abhyaaran
अभ्यारण्य	abhyaarany
अभ्यारोपणीय	abhyaaropaneey
अभ्यारोप्य	abhyaaropy
अभ्यावेदक	abhyaavedak
अभ्यावेदन	abhyaavedan
अभ्यास	abhyaas
अभ्यासकार्य	abhyaasakaary
अभ्यासगत	abhyaasagat
अभ्यासों	abhyaason
अभ्युदय	abhyuday
अभ्रक	abhrak
अभ्रांत	abhraant
अभ्रोत्थ	abhrotth
अमंगल	amangal
अमंगलसूचक	amangalasoochak
अमकट	amakat
अमचूर	amachoor
अमजद	amajad
अमत्त	amatt
अमत्तता	amattata
अमन	aman
अमनपसंद	amanapasand
अमनपसंदवाद	amanapasandavaad
अमनोहर	amanohar
अमर	amar
अमरकंटक	amarakantak
अमरकांत	amarakaant
अमरकोष	amarakosh
अमरजीत	amarajeet
अमरता	amarata
अमरत्व	amaratv
अमरनाथ	amaranaath
अमरपक्षी	amarapakshee
अमरपुर	amarapur
अमरबेल	amarabel
अमरसिंह	amarasinh
अमरा	amara
अमराचार्य	amaraachaary
अमरापुरकर	amaraapurakar
अमरावती	amaraavatee
अमरिंदर	amarindar
अमरिका	amarika
अमरिकी	amarikee
अमरी	amaree
अमरीकन	amareekan
अमरीका	amareeka
अमरीकियों	amareekiyon
अमरीकी	amareekee
अमरीश	amareesh
अमरुद	amarud
अमरूद	amarood
अमरेन्द्र	amarendr
अमरेली	amarelee
अमरेश	amaresh
अमरेश्वर	amareshvar
अमरोहा	amaroha
अमरौली	amaraulee
अमर्त्य	amarty
अमर्यादा	amaryaada
अमर्यादाशील	amaryaadaasheel
अमर्यादित	amaryaadit
अमर्ष	amarsh
अमल	amal
अमलतास	amalataas
अमलतासी	amalataasee
अमला	amala
अमशीनी	amasheenee
अमांडा	amaanda
अमान	amaan
अमानक	amaanak
अमानत	amaanat
अमाननीय	amaananeey
अमानवीय	amaanaveey
अमानवीयता	amaanaveeyata
अमाना	amaana
अमानी	amaanee
अमानुषिकता	amaanushikata
अमानुषी	amaanushee
अमान्य	amaany
अमान्यकरण	amaanyakaran
अमान्यकरणीय	amaanyakaraneey
अमान्यता	amaanyata
अमान्यताप्राप्त	amaanyataapraapt
अमार	amaar
अमावस	amaavas
अमावस्या	amaavasya
अमाशय	amaashay
अमिट	amit
अमित	amit
अमिता	amita
अमिताभ	amitaabh
अमित्र	amitr
अमित्रतापूर्ण	amitrataapoorn
अमित्रवत	amitravat
अमिय	amiy
अमिया	amiya
अमिर	amir
अमिल	amil
अमी	amee
अमीचंद	ameechand
अमीटर	ameetar
अमीन	ameen
अमीना	ameena
अमीनाबाद	ameenaabaad
अमीनो	ameeno
अमीबा	ameeba
अमीर	ameer
अमीरात	ameeraat
अमीरी	ameeree
अमीरों	ameeron
अमुक	amuk
अमुक्त	amukt
अमुख	amukh
अमुद्रणीय	amudraneey
अमूत्रता	amootrata
अमूमन	amooman
अमूर्त	amoort
अमूर्तता	amoortata
अमूर्तन	amoortan
अमूर्तवाद	amoortavaad
अमूर्तवादी	amoortavaadee
अमूल	amool
अमूलक	amoolak
अमूल्य	amooly
अमूल्यता	amoolyata
अमृत	amrt
अमृतधारा	amrtadhaara
अमृतपुर	amrtapur
अमृतमय	amrtamay
अमृतराज	amrtaraaj
अमृतलाल	amrtalaal
अमृतवाणी	amrtavaanee
अमृतसर	amrtasar
अमृता	amrta
अमृतेशय	amrteshay
अमेंडा	amenda
अमेजन	amejan
अमेठना	amethana
अमेठी	amethee
अमेरिकन	amerikan
अमेरिका	amerika
अमेरिकावासी	amerikaavaasee
अमेरिकास	amerikaas
अमेरिकियों	amerikiyon
अमेरिकी	amerikee
अमेरिकीकरण	amerikeekaran
अमेरीका	amereeka
अमेल	amel
अमेज़न	amezan
अमेज़िंग	amezing
अमोघ	amogh
अमोघवर्ष	amoghavarsh
अमोचनीय	amochaneey
अमोनियम	amoniyam
अमोनिया	amoniya
अमोल	amol
अमोला	amola
अमोली	amolee
अमौखिक	amaukhik
अमौलिक	amaulik
अमौलिकता	amaulikata
अम्पायर	ampaayar
अम्बर	ambar
अम्बरीष	ambareesh
अम्बष्ठ	ambashth
अम्बा	amba
अम्बार	ambaar
अम्बाला	ambaala
अम्बालिका	ambaalika
अम्बिका	ambika
अम्बिकापुर	ambikaapur
अम्बे	ambe
अम्बेडकर	ambedakar
अम्मा	amma
अम्माँ	ammaan
अम्मान	ammaan
अम्मी	ammee
अम्मोनियों	ammoniyon
अम्ल	aml
अम्लजन	amlajan
अम्लता	amlata
अम्लनाशक	amlanaashak
अम्लपित्त	amlapitt
अम्लमयता	amlamayata
अम्लमितीय	amlamiteey
अम्लरक्तता	amlaraktata
अम्लशूल	amlashool
अम्लान	amlaan
अम्लापकर्षक	amlaapakarshak
अम्लीकरण	amleekaran
अम्लीकरण्	amleekaran
अम्लीकृत	amleekrt
अम्लीभवन	amleebhavan
